                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4834,                 1.2457,                 1.2069,                0.91555,                      1,                0.98029,                0.57668,                 1.3179,                 1.5753,                 1.1065,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.4586,                 1.1888,                 1.2427,                0.83999,                      1,                   0.97,                0.57154,                 1.3101,                 1.5664,                 1.1092,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.5151,                 1.2635,                 1.2605,                0.84689,                      1,                  0.961,                0.55451,                 1.3331,                 1.6483,                 1.0872,               0.001109,               0.001109,               0.001109
                     38,                 1.4534,                 1.2159,                  1.198,                0.93466,                      1,                0.96971,                0.55592,                 1.3989,                 1.5304,                 1.1039,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.4247,                 1.1534,                 1.2254,                0.93997,                 0.9795,                0.96971,                0.53657,                 1.4136,                  1.427,                 1.1382,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.4616,                 1.1644,                 1.2091,                0.93941,                 0.9699,                0.97324,                0.53266,                 1.3908,                 1.3619,                 1.1781,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.3331,                 1.1464,                 1.1553,                0.91378,                 0.9375,                0.97646,                0.54389,                 1.3455,                 1.3372,                 1.1732,                0.00101,                0.00101,                0.00101
                     42,                 1.3731,                 1.1013,                 1.1928,                0.94086,                0.99459,                0.97324,                 0.5637,                 1.3821,                 1.2815,                 1.1767,             0.00098525,             0.00098525,             0.00098525
                     43,                  1.409,                 1.0909,                 1.2149,                0.94062,                0.99051,                0.97324,                0.53716,                 1.3756,                 1.3307,                 1.1685,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.4827,                 1.1153,                  1.235,                0.94037,                0.98626,                0.99147,                0.62411,                 1.3078,                 1.3834,                 1.1534,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.4303,                 1.1238,                 1.2321,                0.91733,                      1,                0.98794,                0.61342,                 1.3252,                 1.3802,                 1.1458,               0.000911,               0.000911,               0.000911
                     46,                 1.4246,                  1.012,                 1.1552,                0.96721,                 0.9375,                0.99147,                0.61142,                 1.3202,                 1.3534,                 1.1622,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.3638,                  1.057,                 1.1597,                      1,                 0.8794,                  0.983,                0.55895,                 1.4308,                 1.4928,                 1.2111,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.3273,                 1.0864,                 1.1783,                0.91981,                0.71813,                0.94536,                0.34038,                 1.9096,                 2.0193,                 1.4468,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.3871,                 1.0566,                 1.1404,                0.82198,                 0.6875,                0.86048,                0.32661,                 1.9307,                 1.9356,                 1.4787,               0.000812,               0.000812,               0.000812
                     50,                 1.4399,                 1.1481,                 1.1848,                0.92523,                 0.9375,                0.97803,                 0.4928,                 1.6929,                 1.3164,                 1.3686,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.3383,                 1.0024,                 1.1651,                0.97746,                 0.9375,                0.98833,                0.50024,                 1.6443,                 1.1533,                 1.3274,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.3566,                 1.0308,                 1.1834,                0.93739,                      1,                0.98441,                0.42522,                  1.847,                 1.0007,                 1.3602,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.3871,                 1.0137,                 1.1413,                0.93321,                      1,                0.98794,                0.39872,                  1.917,                0.99188,                 1.3875,               0.000713,               0.000713,               0.000713
                     54,                 1.3304,                0.97827,                 1.1438,                0.93068,                      1,                0.98794,                0.46861,                  1.783,                0.98572,                 1.3396,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.2816,                0.96743,                 1.1585,                0.93224,                      1,                0.98794,                0.50201,                 1.6615,                0.96712,                 1.2888,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.3056,                0.98361,                 1.1407,                0.93866,                      1,                0.98794,                0.55171,                 1.5394,                 0.9426,                 1.2486,             0.00063875,             0.00063875,             0.00063875
                     57,                  1.337,                0.97678,                 1.1444,                0.93705,                      1,                0.98441,                0.54667,                  1.548,                0.90034,                 1.2752,               0.000614,               0.000614,               0.000614
                     58,                 1.3101,                0.93626,                 1.1386,                 0.9392,                      1,                0.97324,                0.52851,                 1.5114,                0.83727,                 1.3343,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.2375,                0.88884,                 1.1355,                0.93902,                      1,                0.98029,                0.53322,                 1.4663,                0.82463,                 1.3359,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.3282,                0.97605,                  1.203,                0.93669,                      1,                0.98794,                 0.5533,                 1.4449,                0.85183,                 1.2852,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.2568,                0.90524,                 1.1208,                0.93355,                      1,                0.98794,                0.55775,                 1.4868,                0.89717,                 1.2666,               0.000515,               0.000515,               0.000515
                     62,                 1.2012,                0.87851,                  1.096,                 0.9363,                      1,                0.97324,                0.50258,                 1.5862,                0.94732,                 1.2424,             0.00049025,             0.00049025,             0.00049025
                     63,                  1.285,                0.88127,                  1.101,                0.93605,                      1,                0.97324,                0.50124,                 1.5652,                0.94666,                 1.2371,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.2922,                0.96995,                 1.1442,                0.93476,                      1,                0.97676,                0.54729,                 1.4753,                0.87306,                 1.1943,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.2245,                0.89704,                 1.0772,                0.93401,                      1,                0.98029,                0.58374,                 1.4316,                0.85273,                 1.1781,               0.000416,               0.000416,               0.000416
                     66,                 1.1358,                0.87267,                 1.0892,                0.93435,                      1,                0.98794,                0.62415,                 1.3645,                0.80344,                 1.1698,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.2155,                0.89415,                 1.1017,                0.93619,                      1,                0.98794,                0.64791,                 1.3651,                0.79578,                 1.1822,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.2297,                0.87295,                 1.0903,                0.93703,                      1,                0.98441,                0.61598,                 1.3584,                0.79913,                 1.1989,             0.00034175,             0.00034175,             0.00034175
                     69,                 1.1671,                0.85242,                 1.0635,                0.93719,                      1,                0.98441,                0.61426,                 1.3607,                0.80133,                 1.2098,               0.000317,               0.000317,               0.000317
                     70,                 1.2233,                0.84153,                 1.0722,                0.93796,                      1,                0.96206,                0.58836,                 1.3553,                0.78796,                 1.2101,             0.00029225,             0.00029225,             0.00029225
                     71,                 1.2742,                 1.0159,                 1.1105,                0.93797,                      1,                0.94735,                0.58458,                  1.361,                0.78195,                 1.2107,              0.0002675,              0.0002675,              0.0002675
                     72,                 1.1937,                0.95762,                 1.0653,                0.93792,                      1,                0.94029,                0.53512,                 1.4456,                 0.8039,                 1.2344,             0.00024275,             0.00024275,             0.00024275
                     73,                 1.1143,                0.94545,                 1.0426,                0.93748,                      1,                0.94029,                0.53407,                 1.4909,                0.82828,                 1.2511,               0.000218,               0.000218,               0.000218
                     74,                 1.1534,                0.95554,                 1.0404,                0.93709,                      1,                0.94029,                0.52165,                 1.5357,                0.86091,                 1.2611,             0.00019325,             0.00019325,             0.00019325
                     75,                 1.1393,                0.92501,                   1.07,                0.93691,                      1,                0.94029,                0.50916,                 1.5236,                0.86656,                 1.2661,              0.0001685,              0.0001685,              0.0001685
                     76,                 1.1333,                  0.917,                 1.0815,                0.93648,                      1,                0.94029,                0.54901,                 1.4974,                0.85925,                 1.2506,             0.00014375,             0.00014375,             0.00014375
                     77,                 1.1183,                0.91301,                  1.046,                0.93641,                      1,                0.94029,                 0.5558,                 1.4906,                0.85702,                 1.2446,               0.000119,               0.000119,               0.000119
                     78,                 1.0324,                0.86822,                 1.0287,                0.93631,                      1,                0.94029,                0.55757,                 1.4793,                0.84749,                 1.2413,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 1.0962,                0.88308,                 1.0727,                0.93646,                      1,                0.94029,                 0.5478,                 1.4755,                0.84189,                 1.2412,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                 1.0028,                0.84958,                 1.0175,                0.93664,                      1,                0.94029,                0.54833,                 1.4777,                0.83644,                 1.2435,              4.475e-05,              4.475e-05,              4.475e-05
